measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
2.822,0.524,0.000,2.708,-0.109,3.125
2.940,0.426,0.000,2.710,-0.096,3.125
2.934,0.458,0.000,2.710,-0.092,3.129
2.901,0.475,-0.000,2.710,-0.095,3.134
2.833,0.424,0.000,2.711,-0.107,3.140
2.811,0.259,-0.000,2.713,-0.120,-3.141
2.832,0.359,0.000,2.719,-0.140,-3.137
2.956,0.254,0.000,2.725,-0.167,-3.132
3.116,0.003,-0.000,2.729,-0.200,-3.122
3.095,-0.084,-0.000,2.731,-0.234,-3.110
3.070,-0.037,0.000,2.731,-0.271,-3.095
3.096,-0.006,0.000,2.729,-0.311,-3.076
3.094,0.008,0.000,2.726,-0.351,-3.057
3.059,0.068,-0.000,2.720,-0.391,-3.039
2.934,-0.045,0.000,2.713,-0.432,-3.023
2.897,-0.302,0.000,2.709,-0.475,-3.010
2.974,-0.461,-0.000,2.704,-0.519,-3.000
3.028,-0.894,0.000,2.698,-0.563,-2.990
2.922,-0.947,-0.000,2.689,-0.607,-2.979
2.950,-0.976,0.000,2.678,-0.651,-2.967
2.716,-1.148,0.000,2.667,-0.695,-2.954
3.025,-1.275,0.000,2.658,-0.739,-2.941
-3.021,-1.290,-0.000,2.644,-0.781,-2.924
2.901,-1.364,0.000,2.630,-0.824,-2.905
-1.895,-1.471,0.000,2.611,-0.866,-2.882
0.148,-1.511,0.000,2.587,-0.906,-2.855
-0.039,-1.351,0.000,2.561,-0.946,-2.823
-0.062,-1.318,0.000,2.534,-0.986,-2.789
-0.243,-1.278,0.000,2.500,-1.024,-2.749
-0.152,-1.160,-0.000,2.458,-1.061,-2.701
-0.144,-1.101,-0.000,2.405,-1.095,-2.645
-0.120,-0.848,0.000,2.341,-1.128,-2.579
-0.002,-0.724,-0.000,2.273,-1.160,-2.507
-0.017,-0.649,0.000,2.193,-1.188,-2.421
-0.010,-0.527,-0.000,2.098,-1.212,-2.320
-0.042,-0.570,0.000,1.990,-1.231,-2.205
-0.078,-0.597,-0.000,1.868,-1.244,-2.078
-0.071,-0.397,-0.000,1.734,-1.250,-1.941
-0.047,-0.322,0.000,1.598,-1.249,-1.802
-0.051,-0.186,-0.000,1.465,-1.241,-1.666
-0.068,-0.014,0.000,1.337,-1.228,-1.538
-0.118,0.110,0.000,1.217,-1.208,-1.424
0.016,0.058,0.000,1.110,-1.185,-1.320
0.054,-0.080,0.000,1.050,-1.177,-1.255
-0.115,0.103,0.000,1.007,-1.172,-1.207
-0.084,0.011,0.000,1.055,-1.189,-1.259
-0.062,0.105,0.000,1.114,-1.206,-1.320
-0.050,0.047,-0.000,1.180,-1.221,-1.383
-0.084,-0.018,0.000,1.260,-1.235,-1.460
-0.093,-0.125,0.000,1.354,-1.247,-1.550
-0.080,-0.297,0.000,1.478,-1.256,-1.672
-0.128,-0.361,-0.000,1.618,-1.259,-1.813
-0.063,-0.301,0.000,1.756,-1.257,-1.955
-0.011,-0.218,0.000,1.890,-1.249,-2.093
0.076,-0.199,-0.000,2.020,-1.236,-2.223
0.018,-0.439,-0.000,2.138,-1.215,-2.337
-0.089,-0.590,-0.000,2.237,-1.189,-2.433
-0.043,-0.704,0.000,2.320,-1.158,-2.514
-0.035,-0.640,0.000,2.390,-1.126,-2.585
0.105,-0.516,0.000,2.451,-1.092,-2.648
0.186,-0.623,0.000,2.505,-1.057,-2.702
0.095,-0.902,0.000,2.551,-1.021,-2.746
0.063,-1.013,-0.000,2.590,-0.983,-2.786
0.032,-1.048,0.000,2.622,-0.944,-2.822
0.133,-1.058,0.000,2.648,-0.905,-2.854
0.242,-0.985,0.000,2.671,-0.865,-2.881
0.670,-1.263,0.000,2.692,-0.824,-2.905
1.037,-1.532,-0.000,2.709,-0.782,-2.924
2.167,-1.508,0.000,2.722,-0.740,-2.943
-0.300,-0.698,-0.000,2.731,-0.699,-2.961
0.607,-1.391,0.000,2.739,-0.657,-2.980
2.419,-1.188,0.000,2.745,-0.615,-2.993
2.907,-0.834,0.000,2.751,-0.571,-3.004
3.088,-0.764,0.000,2.755,-0.527,-3.013
2.891,-0.841,0.000,2.757,-0.483,-3.023
2.577,-0.790,0.000,2.762,-0.442,-3.038
2.755,-0.549,0.000,2.771,-0.402,-3.057
2.925,-0.330,0.000,2.778,-0.360,-3.071
3.050,-0.215,0.000,2.783,-0.318,-3.083
3.009,-0.265,0.000,2.784,-0.275,-3.094
2.921,-0.315,0.000,2.786,-0.233,-3.107
2.934,-0.206,0.000,2.785,-0.191,-3.120
2.854,-0.058,0.000,2.784,-0.149,-3.132
2.780,0.104,0.000,2.787,-0.107,3.138
2.866,0.268,-0.000,2.791,-0.065,3.127
3.012,0.430,0.000,2.796,-0.022,3.116
2.998,0.601,0.000,2.797,0.011,3.109
2.942,0.649,0.000,2.798,0.028,3.104
2.912,0.532,-0.000,2.801,0.032,3.099
2.993,0.515,0.000,2.803,0.027,3.093
2.973,0.427,0.000,2.804,0.012,3.091
2.937,0.333,0.000,2.805,-0.012,3.095
2.949,0.349,0.000,2.807,-0.045,3.106
2.934,0.280,0.000,2.807,-0.086,3.121
2.918,0.111,-0.000,2.806,-0.128,3.133
2.924,0.195,0.000,2.806,-0.171,-3.140
2.975,0.118,0.000,2.807,-0.215,-3.132
3.052,0.039,0.000,2.808,-0.258,-3.125
3.045,-0.039,0.000,2.807,-0.302,-3.116
3.021,-0.153,-0.000,2.804,-0.345,-3.106
3.026,-0.303,0.000,2.799,-0.387,-3.095
2.897,-0.492,-0.000,2.795,-0.430,-3.085
2.989,-0.547,0.000,2.788,-0.473,-3.074
2.825,-0.720,0.000,2.781,-0.516,-3.063
2.838,-0.847,0.000,2.773,-0.559,-3.052
2.672,-1.117,0.000,2.767,-0.602,-3.040
2.953,-1.126,0.000,2.759,-0.645,-3.026
2.158,-1.497,0.000,2.749,-0.688,-3.014
0.861,-1.503,0.000,2.738,-0.731,-2.999
0.656,-1.496,0.000,2.726,-0.773,-2.983
-0.107,-1.482,-0.000,2.712,-0.815,-2.965
-0.098,-1.257,0.000,2.695,-0.857,-2.945
0.272,-1.166,0.000,2.676,-0.898,-2.921
0.037,-1.199,0.000,2.654,-0.939,-2.893
-0.114,-1.017,0.000,2.624,-0.978,-2.859
0.095,-0.914,0.000,2.592,-1.017,-2.822
0.030,-0.892,0.000,2.554,-1.054,-2.778
-0.034,-0.755,-0.000,2.505,-1.090,-2.727
0.051,-0.632,0.000,2.446,-1.124,-2.665
0.066,-0.426,0.000,2.382,-1.157,-2.596
0.062,-0.276,0.000,2.310,-1.188,-2.517
0.056,-0.223,0.000,2.227,-1.217,-2.426
0.036,-0.344,0.000,2.132,-1.243,-2.322
0.041,-0.286,0.000,2.018,-1.265,-2.200
0.035,-0.206,-0.000,1.886,-1.280,-2.061
0.020,-0.087,-0.000,1.740,-1.291,-1.910
0.038,-0.035,-0.000,1.592,-1.296,-1.760
-0.029,0.118,0.000,1.457,-1.295,-1.624
0.046,0.052,0.000,1.344,-1.292,-1.514
-0.019,0.057,0.000,1.267,-1.289,-1.440
-0.014,-0.000,0.000,1.231,-1.289,-1.408
-0.010,-0.010,0.000,1.238,-1.292,-1.420
-0.008,0.121,0.000,1.268,-1.298,-1.456
0.005,0.097,0.000,1.320,-1.305,-1.512
0.040,0.046,0.000,1.398,-1.313,-1.593
0.003,0.028,0.000,1.503,-1.319,-1.698
