measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
0.130,-0.878,-0.068,-2.848,-0.956,-0.001
0.098,-0.914,-0.042,-2.924,-0.816,-0.001
0.093,-0.936,-0.034,-2.942,-0.701,-0.001
0.027,-0.987,-0.004,-3.081,-0.330,0.001
0.031,-0.948,-0.010,-3.076,-0.631,-0.000
0.027,-0.994,-0.003,-3.087,-0.222,-0.000
0.012,0.989,-0.002,3.114,-0.298,0.000
0.009,-0.989,-0.001,-3.121,-0.295,0.000
0.035,-0.999,-0.001,-3.074,-0.079,-0.000
0.005,-0.999,-0.000,-3.129,-0.077,-0.000
0.026,-0.997,0.002,-3.091,0.142,-0.000
0.009,-0.998,0.001,-3.123,0.132,-0.000
0.020,-0.990,0.003,-3.101,0.267,-0.000
0.009,0.986,0.002,3.121,0.337,-0.000
0.011,-0.973,0.003,-3.118,0.474,0.000
