m_roll,m_pitch,m_yaw,f_roll,f_pitch,f_yaw
6.279,1.043,1.571,6.255,0.867,1.562
6.277,1.103,1.571,6.255,0.914,1.562
6.273,1.160,1.571,6.255,0.962,1.561
6.267,1.216,1.571,6.256,1.008,1.559
6.261,1.268,1.571,6.258,1.054,1.557
6.254,1.318,1.571,6.260,1.098,1.554
6.248,1.365,1.571,6.264,1.141,1.551
6.240,1.409,1.571,6.268,1.183,1.546
6.229,1.450,1.571,6.273,1.223,1.541
6.208,1.487,1.571,6.280,1.261,1.533
6.168,1.521,1.571,0.005,1.298,1.523
6.054,1.551,1.571,0.013,1.332,1.507
3.503,1.577,1.571,6.252,1.355,1.435
3.108,1.600,1.571,6.197,1.375,1.372
3.027,1.621,1.571,6.132,1.396,1.320
2.973,1.639,1.571,6.053,1.417,1.284
2.929,1.657,1.571,5.954,1.439,1.269
2.893,1.674,1.571,5.828,1.462,1.283
2.866,1.690,1.571,5.662,1.486,1.338
2.845,1.706,1.571,5.440,1.510,1.451
2.831,1.722,1.571,5.154,1.536,1.631
2.824,1.737,1.571,4.818,1.562,1.862
2.825,1.753,1.571,4.486,1.590,2.092
2.833,1.769,1.571,4.210,1.619,2.269
2.847,1.788,1.571,3.999,1.648,2.383
2.867,1.808,1.571,3.844,1.679,2.446
2.890,1.831,1.571,3.727,1.709,2.474
2.914,1.855,1.571,3.638,1.740,2.478
2.938,1.880,1.571,3.567,1.771,2.466
2.960,1.906,1.571,3.510,1.802,2.446
2.982,1.932,1.571,3.463,1.832,2.419
3.001,1.960,1.571,3.423,1.862,2.388
3.020,1.988,1.571,3.389,1.891,2.355
3.036,2.019,1.571,3.359,1.920,2.322
3.049,2.051,1.571,3.333,1.948,2.288
3.060,2.083,1.571,3.310,1.976,2.255
3.068,2.116,1.571,3.290,2.004,2.223
3.074,2.149,1.571,3.272,2.031,2.192
3.079,2.180,1.571,3.256,2.057,2.162
3.083,2.211,1.571,3.243,2.083,2.134
3.087,2.240,1.571,3.231,2.108,2.107
3.090,2.267,1.571,3.221,2.133,2.082
3.092,2.292,1.571,3.213,2.156,2.057
3.093,2.314,1.571,3.206,2.179,2.035
3.091,2.332,1.571,3.200,2.201,2.013
3.088,2.345,1.571,3.194,2.221,1.993
3.082,2.353,1.571,3.189,2.240,1.974
3.074,2.358,1.571,3.184,2.257,1.956
3.066,2.359,1.571,3.178,2.274,1.939
