ax, ay, az, gx, gy, gz, temp
2.25534, -0.45729, -12.86644, 0.08394, -0.29298, 0.15028, 27.69422
2.22182, -0.39744, -12.77786, -0.08807, -0.31429, 0.15108, 27.83799
2.33914, -0.44293, -12.80659, -0.20611, -0.33508, 0.14202, 27.88591
2.27689, -0.12929, -12.93827, -0.41621, -0.37145, 0.06235, 27.55045
1.88184, 0.01197, -13.16572, -0.48470, -0.42954, -0.04943, 27.64630
1.51314, -0.05746, -13.18966, -0.62952, -0.33468, -0.10592, 27.88591
1.27372, -0.15083, -13.00770, -0.75449, -0.22729, -0.10405, 27.64630
1.23062, 0.11253, -12.98376, -0.82004, -0.15215, -0.09513, 27.79007
1.15161, -0.12450, -12.98376, -0.97672, -0.05902, -0.06089, 27.64630
1.44131, -0.05746, -13.10107, -1.15845, -0.04463, -0.04903, 27.69422
1.70946, 0.00239, -13.24712, -1.34857, -0.09886, -0.09273, 27.83799
1.76692, 0.19872, -13.27824, -1.48380, -0.22636, -0.23622, 27.88591
0.89783, -0.04070, -12.98615, -1.66353, -0.26646, -0.34653, 27.55045
0.37589, 0.09816, -12.78743, -1.93039, -0.20544, -0.38597, 27.79007
0.04070, 0.26336, -12.83532, -2.25574, -0.22889, -0.39969, 27.64630
0.30885, 0.34477, -12.76110, -2.62612, -0.34467, -0.39743, 27.64630
1.03430, 0.67516, -11.73638, -2.74203, -0.61020, -0.33468, 27.88591
0.62010, 0.70390, -10.14663, -2.47091, -0.72158, -0.19585, 27.83799
-0.43814, 1.23780, -9.28471, -2.54219, -0.39876, -0.07954, 27.83799
-0.23703, 2.04944, -9.04051, -2.77108, 0.02864, -0.03784, 27.98176
1.06781, 2.81558, -8.66701, -2.74630, 0.07048, -0.18626, 27.69422
1.56102, 3.38061, -8.32943, -2.65330, -0.13803, -0.42061, 27.98176
0.57700, 3.42371, -7.39569, -2.55204, -0.24368, -0.51614, 27.83799
0.39025, 3.16274, -7.04614, -2.46398, -0.18879, -0.45405, 27.64630
-0.18435, 3.73017, -6.93361, -2.39270, -0.10805, -0.25127, 27.88591
-0.77572, 3.91452, -6.53138, -2.37778, 0.04237, -0.13829, 27.55045
-0.05746, 4.24492, -6.84263, -2.41548, 0.02025, -0.08394, 27.88591
0.39504, 4.76446, -6.69898, -2.32568, -0.25194, -0.06035, 27.88591
-0.16520, 4.78840, -6.24887, -2.26653, -0.39783, -0.03238, 27.64630
-0.24660, 5.09965, -5.82509, -2.14396, -0.36532, 0.03317, 27.79007
-0.88346, 5.32231, -5.68144, -2.11025, -0.14522, 0.15561, 27.79007
-0.67277, 5.53779, -5.79157, -2.16248, 0.09100, 0.22583, 27.79007
0.11013, 5.82270, -6.07170, -2.22669, 0.05942, 0.23249, 27.50253
0.23703, 6.05972, -6.05015, -2.22909, -0.13883, 0.25207, 27.79007
0.35913, 6.39012, -5.43244, -2.27972, -0.34773, 0.22210, 27.55045
-0.10534, 6.57687, -4.70221, -2.25547, -0.47151, 0.24075, 27.83799
-0.11253, 6.57448, -3.88818, -2.19498, -0.41062, 0.30230, 27.55045
-0.04310, 6.86657, -3.39977, -2.12957, -0.26593, 0.35120, 27.88591
0.17478, 7.10599, -3.16513, -2.07015, -0.09100, 0.35053, 27.88591
0.34716, 7.63511, -2.99036, -2.06508, 0.01212, 0.32242, 27.69422
0.35674, 8.03015, -2.84431, -2.08720, 0.00973, 0.26700, 27.79007
0.46208, 8.13071, -2.48518, -2.10665, -0.01372, 0.21490, 27.98176
0.71108, 8.21690, -1.98719, -2.03244, -0.09992, 0.15894, 27.50253
0.43814, 8.41801, -1.39103, -1.93199, -0.14549, 0.15202, 27.50253
0.20590, 8.40365, -0.99359, -1.84325, -0.17094, 0.12257, 28.07761
0.04070, 8.24084, -0.64883, -1.76571, -0.11778, 0.17866, 27.64630
0.13886, 8.08282, -0.40223, -1.70030, -0.03597, 0.22236, 27.88591
0.33040, 8.54730, 0.00958, -1.61050, 0.07661, 0.25740, 27.88591
0.28491, 8.76038, 0.46448, -1.55827, 0.16108, 0.18133, 27.64630
0.47166, 8.70292, 0.87628, -1.48966, 0.25367, 0.12697, 28.02968
0.50039, 8.77236, 0.91459, -1.39187, 0.19772, 0.13150, 27.83799
0.48602, 8.70053, 0.91459, -1.28675, 0.06235, 0.18826, 27.88591
0.54109, 8.89207, 1.35272, -1.18709, 0.02825, 0.16854, 27.88591
-0.00479, 9.08600, 2.59292, -0.90637, 0.04810, 0.26460, 27.64630
-0.22984, 9.17698, 3.37104, -0.66416, 0.18985, 0.31296, 27.55045
-0.03591, 9.03332, 3.58412, -0.40769, 0.31163, 0.28218, 27.88591
0.65841, 9.31344, 3.32315, -0.25660, 0.50948, 0.42314, 27.88591
0.33279, 9.62469, 2.99275, -0.39983, 0.58036, 0.34693, 27.83799
1.14682, 9.86172, 3.20344, -0.35146, 0.36385, 0.17600, 27.69422
0.99838, 9.65821, 3.33752, -0.10792, 0.00426, 0.09340, 27.79007
0.54588, 9.56962, 3.77087, 0.03797, -0.14589, 0.12710, 27.88591
0.39504, 9.61990, 4.05338, 0.16654, -0.04024, 0.17240, 27.88591
0.56503, 9.41640, 3.88100, 0.20518, 0.08993, 0.23315, 27.83799
0.78290, 9.67258, 3.78044, 0.25607, 0.24435, 0.28845, 27.79007
1.31681, 9.77313, 3.77087, 0.36572, 0.30523, 0.24914, 27.88591
1.84354, 9.85453, 3.40455, 0.46724, 0.22809, 0.13949, 27.50253
1.60172, 9.85932, 3.26809, 0.60420, 0.06528, 0.04876, 27.83799
1.32639, 9.45470, 3.11964, 0.80405, 0.01532, 0.01146, 27.55045
0.98641, 9.29669, 3.02627, 0.88226, 0.03291, -0.00093, 27.83799
0.78769, 9.33260, 2.82516, 1.01789, 0.03411, -0.00160, 27.69422
0.96965, 9.21528, 2.82516, 1.22280, 0.04596, 0.02278, 27.79007
1.01275, 9.14106, 2.21224, 1.37535, 0.08300, -0.00879, 27.69422
0.70390, 9.02614, 1.61369, 1.40213, 0.15628, -0.04916, 27.64630
0.81403, 8.79390, 1.26893, 1.47487, 0.16854, -0.04517, 27.88591
0.51475, 8.73405, 1.17316, 1.66059, 0.14043, 0.00333, 27.64630
0.79487, 8.54012, 0.67038, 1.80235, 0.04210, 0.09499, 27.64630
0.94810, 8.45632, 0.41659, 1.97196, -0.01292, 0.21623, 27.83799
0.90261, 8.31506, 0.13408, 2.04390, 0.08327, 0.27286, 27.69422
0.92895, 8.45632, 0.08380, 2.19192, 0.23142, 0.22409, 27.83799
