measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
3.036,-0.105,-0.000,3.044,-0.194,2.846
3.032,-0.148,0.000,3.057,-0.190,2.846
3.025,-0.107,0.000,3.069,-0.184,2.847
3.037,-0.089,0.000,3.079,-0.180,2.847
3.073,-0.121,0.000,3.088,-0.176,2.849
3.070,-0.141,-0.000,3.097,-0.172,2.850
3.045,-0.128,0.000,3.106,-0.167,2.852
3.060,-0.099,0.000,3.113,-0.161,2.855
3.125,-0.033,0.000,3.118,-0.158,2.855
3.102,-0.007,0.000,3.123,-0.156,2.856
3.123,-0.031,0.000,3.128,-0.154,2.858
3.141,-0.011,0.000,3.131,-0.152,2.859
-3.122,0.021,0.000,3.134,-0.151,2.859
3.134,0.014,0.000,3.136,-0.149,2.860
3.138,0.002,0.000,3.137,-0.148,2.860
-3.141,-0.003,-0.000,3.138,-0.148,2.860
3.102,-0.008,0.000,3.138,-0.148,2.859
3.090,-0.025,0.000,3.137,-0.149,2.859
3.087,-0.023,0.000,3.134,-0.151,2.860
3.098,-0.016,0.000,3.131,-0.151,2.861
3.118,0.030,0.000,3.126,-0.152,2.860
3.134,-0.013,0.000,3.121,-0.154,2.860
3.098,-0.010,0.000,3.115,-0.157,2.858
3.094,-0.045,-0.000,3.107,-0.159,2.858
3.092,-0.041,0.000,3.097,-0.161,2.858
3.106,-0.023,0.000,3.086,-0.164,2.858
3.075,-0.081,0.000,3.074,-0.166,2.859
3.082,-0.065,0.000,3.059,-0.167,2.861
3.083,-0.009,0.000,3.043,-0.167,2.863
3.087,0.020,0.000,3.025,-0.169,2.864
3.044,-0.027,0.000,3.005,-0.170,2.866
3.039,-0.042,0.000,2.980,-0.169,2.868
2.997,-0.082,0.000,2.956,-0.167,2.870
2.999,-0.018,-0.000,2.931,-0.165,2.871
2.962,-0.003,0.000,2.906,-0.165,2.871
